tipo=Acquisizione  
data=02/12/2024
ora=14:44:09
sps=1000
etichetta=
note=
numero canali=24
shot x=
shot y=
shot z=
canale;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
descrizione;;;;;;;;;;;;;;;;;;;;;;;;
guadagno;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27
intervallo;;;;;;;;;;;;;;;;;;;;;;;;
pick;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
abilitato;Vero;Vero;Vero;Vero;Vero;Vero;Vero;Vero;Vero;Vero;Vero;Vero;Vero;Vero;Vero;Vero;Vero;Vero;Vero;Vero;Vero;Vero;Vero;Vero
invertito;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
offset;.1;0;-.5;-.2;.4;.4;-.5;-.2;-.3;.2;.2;-.4;.3;.4;.3;.3;-.2;.3;-.2;.4;-.5;.3;-.2;0
coordinata x;;;;;;;;;;;;;;;;;;;;;;;;
coordinata y;;;;;;;;;;;;;;;;;;;;;;;;
coordinata z;;;;;;;;;;;;;;;;;;;;;;;;
numero campioni=250
 1;0;1487;46;-15;2;0;3;2;-2;7;3;0;4;3;1;2;3;0;2;5;2;11;10;-5
 2;0;1487;46;-15;2;0;3;2;-2;7;3;0;4;3;1;2;3;0;2;5;2;11;10;-5
 3;0;1487;46;-15;2;0;3;2;-2;7;3;0;4;3;1;2;3;0;2;5;2;11;10;-5
 4;-2;-6669;119;-30;35;-4;3;2;1;9;2;2;5;4;1;2;7;-1;1;4;1;9;11;-9
 5;-4;-12940;254;-8;9;-6;2;2;5;9;2;2;7;5;1;2;7;-2;1;3;0;8;11;-10
 6;-6;-14274;548;16;-9;1;1;1;10;7;4;2;8;4;1;1;6;-2;0;3;0;7;11;-7
 7;-7;-11867;769;52;-29;31;0;0;12;5;7;1;9;3;1;-1;3;-2;0;2;-2;6;10;-2
 8;-7;-8209;53;183;-20;5;0;0;12;2;10;1;9;2;1;-2;1;-1;2;2;-3;7;10;0
 9;-7;-4631;-1276;418;-31;-8;0;0;10;0;12;1;8;3;2;-1;2;0;2;2;-4;6;10;-1
 10;-8;-1310;-2418;739;-33;-25;0;0;6;1;13;2;6;2;2;-3;1;2;1;1;-5;6;9;-1
 11;-8;937;-3218;980;-4;-8;-1;0;1;1;12;1;5;1;4;-2;1;2;-1;0;-5;6;7;1
 12;-8;422;-3990;867;97;2;-2;-1;-3;5;12;0;3;1;4;0;0;3;-1;0;-6;6;6;3
 13;-9;-1070;-4268;269;256;28;-2;-1;-7;7;10;1;2;1;4;1;0;2;-3;0;-4;4;6;4
 14;-9;716;-3256;-457;405;65;-2;-1;-7;9;7;0;1;1;3;2;-1;1;-2;-1;-4;5;5;4
 15;-10;7282;-1345;-872;509;120;-2;-1;4;8;5;1;3;1;3;4;0;0;-1;0;-1;6;5;1
 16;-12;14769;613;-1252;529;176;-2;-2;21;7;4;2;4;2;2;4;2;-1;0;0;0;6;6;-2
 17;-13;19752;1780;-2018;441;221;-2;-1;19;2;4;3;6;5;0;4;5;-2;2;0;1;5;5;-7
 18;-14;20367;1418;-2725;285;293;-1;-1;16;11;5;3;7;5;0;2;5;-2;3;1;1;4;5;-8
 19;-15;17067;-441;-2778;144;399;-2;-2;21;13;7;2;8;4;-2;1;4;-1;3;1;1;3;3;-6
 20;-15;12630;-2537;-2213;-25;542;-2;-2;40;9;11;2;9;3;-1;-1;3;-1;3;1;1;2;2;-6
 21;-15;8857;-3862;-1499;-296;640;-1;-1;52;15;30;3;8;4;-2;-1;5;0;3;2;1;2;2;-7
 22;-16;5756;-3974;-750;-667;632;1;-1;72;28;36;3;9;4;-2;-1;4;1;2;2;0;1;1;-8
 23;-16;2571;-2318;94;-1066;510;1;0;100;63;41;2;13;4;-1;0;6;2;0;3;-1;2;-1;-9
 24;-18;-1265;1356;638;-1444;275;1;-1;129;88;45;2;19;5;0;1;6;1;0;3;-1;0;0;-9
 25;-18;-5589;6304;515;-1690;-126;1;0;144;111;61;1;28;3;3;3;3;1;1;4;-3;0;0;-7
 26;-18;-9622;10822;-297;-1635;-672;1;1;150;126;71;-1;37;2;9;7;1;1;1;3;-4;-1;0;-2
 27;-18;-12149;13036;-1523;-1242;-1176;0;0;165;132;78;-1;54;-1;16;11;-2;2;3;3;-5;1;1;3
 28;-16;-12305;12073;-2447;-748;-1425;-2;1;196;126;87;-1;48;0;23;15;-1;4;6;5;-4;1;1;3
 29;-17;-10242;9043;-2409;-384;-1389;-2;0;236;115;86;-1;46;0;28;19;0;9;10;7;-2;3;3;2
 30;-17;-6708;5895;-1216;-235;-1234;-3;0;281;115;89;-1;45;0;30;20;-1;13;12;10;0;6;4;2
 31;-18;-2651;3211;1062;-308;-1100;-5;-1;328;120;83;0;48;0;31;20;-2;15;14;13;2;8;5;4
 32;-17;891;390;3853;-575;-948;-4;-2;342;128;80;-1;55;-1;34;19;-3;16;14;13;3;9;8;5
